IP_ADDRESS HOSTNAME NAT_TYPE
130.161.211.226 node326 "Port restricted Cone NAT"
130.161.211.201 node301 "UNKNOWN"
130.161.211.213 node313 "Full Cone NAT"
130.161.211.217 node317 "Open access to the Internet"
130.161.211.227 node327 "Symmetric Cone NAT, two external ports"
130.161.211.206 node306 "Open access to the Internet"
130.161.211.200 node300 "Open access to the Internet"
130.161.211.215 node315 "Symmetric Cone NAT, IP only"
130.161.211.231 node331 "Open access to the Internet"
130.161.211.204 node304 "Port restricted Cone NAT"
130.161.211.208 node308 "Port restricted Cone NAT"
130.161.211.230 node330 "UNKNOWN"
130.161.211.224 node324 "Full Cone NAT"
130.161.211.222 node322 "Symmetric Cone NAT"
130.161.211.228 node328 "UNKNOWN"
130.161.211.219 node319 "Port restricted Cone NAT"
130.161.211.203 node303 "UNKNOWN"
130.161.211.214 node314 "Port restricted Cone NAT"
130.161.211.229 node329 "UNKNOWN"
130.161.211.223 node323 "Symmetric Cone NAT"
130.161.211.212 node312 "Port restricted Cone NAT"
130.161.211.225 node325 "Symmetric Cone NAT"
130.161.211.220 node320 "Restricted Cone NAT"
130.161.211.210 node310 "Open access to the Internet"
