1 download 107306
1 download 141621
1 download 24891
1 download 25569
1 download 31250
1 download 33932
1 download 33935
1 download 35298
1 download 35299
1 download 35476
1 download 37728
1 download 37730
1 download 37732
1 download 37956
1 download 46648
1 download 76851
1 download 78492
1 download 81099
1 download 82651
1 download 82979
1 testset 134631
1 testset 193679
1 testset 35300
1 testset 37733
1 testset 40570
2 taste_buddy 00458 6.000000
2 taste_buddy 00366 5.000000
2 taste_buddy 00811 4.000000
2 taste_buddy 00016 3.000000
2 taste_buddy 00343 2.000000
2 taste_buddy 00355 2.000000
2 taste_buddy 00690 2.000000
2 taste_buddy 00693 2.000000
2 taste_buddy 00207 2.000000
2 taste_buddy 00210 1.000000
2 taste_buddy 00765 1.000000
2 taste_buddy 00958 1.000000
2 taste_buddy 00136 1.000000
2 taste_buddy 00013 1.000000
2 taste_buddy 00694 1.000000
2 taste_buddy 00977 1.000000
2 taste_buddy 00544 1.000000
2 taste_buddy 00651 1.000000
2 taste_buddy 00819 1.000000
2 taste_buddy 00776 1.000000
2 taste_buddy 00201 1.000000
2 taste_buddy 00587 1.000000
2 taste_buddy 00613 1.000000
2 taste_buddy 00457 1.000000
2 taste_buddy 00480 1.000000
2 taste_buddy 00185 1.000000
