1 download 110944
1 download 132699
1 download 1466
1 download 21642
1 download 34008
1 download 36705
1 download 43399
1 download 50342
1 download 69869
1 download 84177
1 download 8581
1 testset 117189
1 testset 62238
1 testset 66917
2 taste_buddy 00645 2.000000
2 taste_buddy 00600 2.000000
2 taste_buddy 00346 2.000000
2 taste_buddy 00980 1.000000
2 taste_buddy 00646 1.000000
2 taste_buddy 00384 1.000000
2 taste_buddy 00597 1.000000
2 taste_buddy 00216 1.000000
2 taste_buddy 00571 1.000000
2 taste_buddy 00267 1.000000
2 taste_buddy 00195 1.000000
2 taste_buddy 00272 1.000000
2 taste_buddy 00133 1.000000
2 taste_buddy 00234 1.000000
2 taste_buddy 00019 1.000000
2 taste_buddy 00796 1.000000
2 taste_buddy 00954 1.000000
2 taste_buddy 00509 1.000000
2 taste_buddy 00321 1.000000
2 taste_buddy 00284 1.000000
2 taste_buddy 00893 1.000000
2 taste_buddy 00206 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00463 1.000000
2 taste_buddy 00307 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00168 1.000000
2 taste_buddy 00266 1.000000
2 taste_buddy 00165 1.000000
2 taste_buddy 00248 1.000000
2 taste_buddy 00181 1.000000
