1 download 29286
1 download 29523
1 download 30077
1 download 30199
1 download 30203
1 download 30723
1 download 31140
1 download 31738
1 download 32299
1 download 32428
1 download 35009
1 download 4833
1 download 72524
1 download 99275
1 testset 30204
1 testset 30301
1 testset 30334
1 testset 40811
2 taste_buddy 00248 5.000000
2 taste_buddy 00939 4.000000
2 taste_buddy 00413 3.000000
2 taste_buddy 00143 3.000000
2 taste_buddy 00610 3.000000
2 taste_buddy 00344 3.000000
2 taste_buddy 00273 3.000000
2 taste_buddy 00247 3.000000
2 taste_buddy 00003 3.000000
2 taste_buddy 00724 2.000000
2 taste_buddy 00151 2.000000
2 taste_buddy 00498 2.000000
2 taste_buddy 00426 2.000000
2 taste_buddy 00303 2.000000
2 taste_buddy 00905 2.000000
2 taste_buddy 00907 2.000000
2 taste_buddy 00430 2.000000
2 taste_buddy 00098 2.000000
2 taste_buddy 00037 2.000000
2 taste_buddy 00200 2.000000
2 taste_buddy 00120 2.000000
2 taste_buddy 00042 2.000000
2 taste_buddy 00597 2.000000
2 taste_buddy 00769 2.000000
2 taste_buddy 00450 2.000000
2 taste_buddy 00953 2.000000
2 taste_buddy 00952 2.000000
2 taste_buddy 00658 2.000000
2 taste_buddy 00781 2.000000
2 taste_buddy 00476 2.000000
2 taste_buddy 00575 2.000000
2 taste_buddy 00177 2.000000
2 taste_buddy 00363 2.000000
2 taste_buddy 00163 2.000000
