1 download 122096
1 download 14148
1 download 2637
1 download 29812
1 download 29961
1 download 34765
1 download 34987
1 download 37750
1 download 47250
1 download 60112
1 download 78711
1 download 82806
1 testset 3644
1 testset 43390
1 testset 75994
1 testset 97334
2 taste_buddy 00241 2.000000
2 taste_buddy 00848 1.000000
2 taste_buddy 00298 1.000000
2 taste_buddy 00806 1.000000
2 taste_buddy 00648 1.000000
2 taste_buddy 00199 1.000000
2 taste_buddy 00709 1.000000
2 taste_buddy 00592 1.000000
2 taste_buddy 00984 1.000000
2 taste_buddy 00179 1.000000
2 taste_buddy 00274 1.000000
2 taste_buddy 00239 1.000000
2 taste_buddy 00051 1.000000
2 taste_buddy 00175 1.000000
2 taste_buddy 00835 1.000000
2 taste_buddy 00976 1.000000
2 taste_buddy 00287 1.000000
2 taste_buddy 00204 1.000000
2 taste_buddy 00446 1.000000
2 taste_buddy 00674 1.000000
2 taste_buddy 00096 1.000000
2 taste_buddy 00101 1.000000
