1 download 111297
1 download 112052
1 download 13023
1 download 13735
1 download 18149
1 download 25635
1 download 265580
1 download 30768
1 download 30782
1 download 31549
1 download 35514
1 download 35725
1 download 37262
1 download 37341
1 download 38705
1 download 41480
1 download 45804
1 download 52184
1 download 52193
1 download 52194
1 download 52196
1 download 52198
1 download 52199
1 download 52202
1 download 52423
1 download 57906
1 download 72120
1 download 90782
1 testset 38765
1 testset 50175
1 testset 52206
1 testset 52208
1 testset 52210
1 testset 52213
1 testset 52214
2 taste_buddy 00387 2.000000
2 taste_buddy 00710 2.000000
2 taste_buddy 00533 2.000000
2 taste_buddy 00988 2.000000
2 taste_buddy 00131 2.000000
2 taste_buddy 00216 2.000000
2 taste_buddy 00654 2.000000
2 taste_buddy 00943 2.000000
2 taste_buddy 00273 2.000000
2 taste_buddy 00720 1.000000
2 taste_buddy 00413 1.000000
2 taste_buddy 00724 1.000000
2 taste_buddy 00414 1.000000
2 taste_buddy 00680 1.000000
2 taste_buddy 00922 1.000000
2 taste_buddy 00601 1.000000
2 taste_buddy 00600 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00395 1.000000
2 taste_buddy 00397 1.000000
2 taste_buddy 00493 1.000000
2 taste_buddy 00494 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00918 1.000000
2 taste_buddy 00426 1.000000
2 taste_buddy 00911 1.000000
2 taste_buddy 00420 1.000000
2 taste_buddy 00993 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00021 1.000000
2 taste_buddy 00383 1.000000
2 taste_buddy 00029 1.000000
2 taste_buddy 00389 1.000000
2 taste_buddy 00901 1.000000
2 taste_buddy 00903 1.000000
2 taste_buddy 00531 1.000000
2 taste_buddy 00430 1.000000
2 taste_buddy 00985 1.000000
2 taste_buddy 00986 1.000000
2 taste_buddy 00980 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00036 1.000000
2 taste_buddy 00297 1.000000
2 taste_buddy 00234 1.000000
2 taste_buddy 00979 1.000000
2 taste_buddy 00285 1.000000
2 taste_buddy 00207 1.000000
2 taste_buddy 00203 1.000000
2 taste_buddy 00775 1.000000
2 taste_buddy 00774 1.000000
2 taste_buddy 00454 1.000000
2 taste_buddy 00969 1.000000
2 taste_buddy 00350 1.000000
2 taste_buddy 00450 1.000000
2 taste_buddy 00516 1.000000
2 taste_buddy 00511 1.000000
2 taste_buddy 00648 1.000000
2 taste_buddy 00597 1.000000
2 taste_buddy 00884 1.000000
2 taste_buddy 00887 1.000000
2 taste_buddy 00591 1.000000
2 taste_buddy 00457 1.000000
2 taste_buddy 00191 1.000000
2 taste_buddy 00599 1.000000
2 taste_buddy 00451 1.000000
2 taste_buddy 00059 1.000000
2 taste_buddy 00958 1.000000
2 taste_buddy 00342 1.000000
2 taste_buddy 00816 1.000000
2 taste_buddy 00812 1.000000
2 taste_buddy 00189 1.000000
2 taste_buddy 00462 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00716 1.000000
2 taste_buddy 00104 1.000000
2 taste_buddy 00105 1.000000
2 taste_buddy 00106 1.000000
2 taste_buddy 00100 1.000000
2 taste_buddy 00781 1.000000
2 taste_buddy 00784 1.000000
2 taste_buddy 00944 1.000000
2 taste_buddy 00472 1.000000
2 taste_buddy 00822 1.000000
2 taste_buddy 00709 1.000000
2 taste_buddy 00796 1.000000
2 taste_buddy 00573 1.000000
2 taste_buddy 00272 1.000000
2 taste_buddy 00177 1.000000
2 taste_buddy 00830 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00934 1.000000
2 taste_buddy 00363 1.000000
2 taste_buddy 00184 1.000000
2 taste_buddy 00248 1.000000
2 taste_buddy 00005 1.000000
2 taste_buddy 00246 1.000000
2 taste_buddy 00346 1.000000
2 taste_buddy 00161 1.000000
2 taste_buddy 00166 1.000000
2 taste_buddy 00486 1.000000
