1 download 166084
1 download 171053
1 download 185569
1 download 205168
1 download 223700
1 download 224209
1 download 30071
1 download 30976
1 download 31244
1 download 31264
1 download 318359
1 download 32106
1 download 324115
1 testset 241466
1 testset 29882
1 testset 306424
1 testset 319129
2 taste_buddy 00602 5.000000
2 taste_buddy 00458 3.000000
2 taste_buddy 00819 3.000000
2 taste_buddy 00518 2.000000
2 taste_buddy 00078 2.000000
2 taste_buddy 00693 2.000000
2 taste_buddy 00366 2.000000
2 taste_buddy 00583 2.000000
2 taste_buddy 00167 2.000000
2 taste_buddy 00901 1.000000
2 taste_buddy 00868 1.000000
2 taste_buddy 00941 1.000000
2 taste_buddy 00298 1.000000
2 taste_buddy 00033 1.000000
2 taste_buddy 00603 1.000000
2 taste_buddy 00989 1.000000
2 taste_buddy 00764 1.000000
2 taste_buddy 00457 1.000000
2 taste_buddy 00316 1.000000
2 taste_buddy 00111 1.000000
2 taste_buddy 00014 1.000000
2 taste_buddy 00131 1.000000
2 taste_buddy 00279 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00830 1.000000
2 taste_buddy 00624 1.000000
2 taste_buddy 00838 1.000000
2 taste_buddy 00737 1.000000
2 taste_buddy 00736 1.000000
2 taste_buddy 00990 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00348 1.000000
2 taste_buddy 00936 1.000000
2 taste_buddy 00188 1.000000
2 taste_buddy 00206 1.000000
2 taste_buddy 00061 1.000000
2 taste_buddy 00673 1.000000
2 taste_buddy 00086 1.000000
2 taste_buddy 00466 1.000000
2 taste_buddy 00069 1.000000
2 taste_buddy 00008 1.000000
2 taste_buddy 00048 1.000000
2 taste_buddy 00267 1.000000
2 taste_buddy 00149 1.000000
2 taste_buddy 00481 1.000000
2 taste_buddy 00107 1.000000
2 taste_buddy 00389 1.000000
