1 download 108350
1 download 108351
1 download 109082
1 download 114671
1 download 128982
1 download 158532
1 download 221194
1 download 30809
1 download 32043
1 download 33973
1 download 35514
1 download 35530
1 download 38212
1 download 401309
1 download 56231
1 download 61243
1 download 62427
1 download 649645
1 download 867
1 download 94770
1 download 99943
1 testset 114672
1 testset 114674
1 testset 142190
1 testset 154175
1 testset 39791
1 testset 66044
2 taste_buddy 00089 13.000000
2 taste_buddy 00352 7.000000
2 taste_buddy 00887 2.000000
2 taste_buddy 00685 2.000000
2 taste_buddy 00840 1.000000
2 taste_buddy 00835 1.000000
2 taste_buddy 00969 1.000000
2 taste_buddy 00145 1.000000
2 taste_buddy 00413 1.000000
2 taste_buddy 00643 1.000000
2 taste_buddy 00516 1.000000
2 taste_buddy 00801 1.000000
2 taste_buddy 00511 1.000000
2 taste_buddy 00648 1.000000
2 taste_buddy 00070 1.000000
2 taste_buddy 00884 1.000000
2 taste_buddy 00601 1.000000
2 taste_buddy 00154 1.000000
2 taste_buddy 00765 1.000000
2 taste_buddy 00986 1.000000
2 taste_buddy 00980 1.000000
2 taste_buddy 00573 1.000000
2 taste_buddy 00498 1.000000
2 taste_buddy 00131 1.000000
2 taste_buddy 00259 1.000000
2 taste_buddy 00270 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00278 1.000000
2 taste_buddy 00033 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00696 1.000000
2 taste_buddy 00698 1.000000
2 taste_buddy 00859 1.000000
2 taste_buddy 00838 1.000000
2 taste_buddy 00522 1.000000
2 taste_buddy 00340 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00527 1.000000
2 taste_buddy 00349 1.000000
2 taste_buddy 00812 1.000000
2 taste_buddy 00420 1.000000
2 taste_buddy 00184 1.000000
2 taste_buddy 00141 1.000000
2 taste_buddy 00776 1.000000
2 taste_buddy 00774 1.000000
2 taste_buddy 00304 1.000000
2 taste_buddy 00305 1.000000
2 taste_buddy 00177 1.000000
2 taste_buddy 00221 1.000000
2 taste_buddy 00222 1.000000
