1 download 167701
1 download 29543
1 download 29689
1 download 30089
1 download 34009
1 download 35009
1 download 35716
1 download 35910
1 download 37126
1 download 38987
1 download 39955
1 download 41667
1 download 43139
1 download 6437
1 download 64431
1 download 67896
1 testset 30780
1 testset 32635
1 testset 36252
1 testset 36381
2 taste_buddy 00347 2.000000
2 taste_buddy 00905 1.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00940 1.000000
2 taste_buddy 00556 1.000000
2 taste_buddy 00530 1.000000
2 taste_buddy 00724 1.000000
2 taste_buddy 00925 1.000000
2 taste_buddy 00597 1.000000
2 taste_buddy 00211 1.000000
2 taste_buddy 00559 1.000000
2 taste_buddy 00620 1.000000
2 taste_buddy 00590 1.000000
2 taste_buddy 00456 1.000000
2 taste_buddy 00267 1.000000
2 taste_buddy 00092 1.000000
2 taste_buddy 00336 1.000000
2 taste_buddy 00762 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00695 1.000000
2 taste_buddy 00953 1.000000
2 taste_buddy 00952 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00654 1.000000
2 taste_buddy 00344 1.000000
2 taste_buddy 00817 1.000000
2 taste_buddy 00860 1.000000
2 taste_buddy 00548 1.000000
2 taste_buddy 00281 1.000000
2 taste_buddy 00200 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00758 1.000000
2 taste_buddy 00005 1.000000
2 taste_buddy 00168 1.000000
2 taste_buddy 00106 1.000000
2 taste_buddy 00248 1.000000
2 taste_buddy 00485 1.000000
2 taste_buddy 00484 1.000000
