1 download 109755
1 download 122208
1 download 180955
1 download 18199
1 download 20311
1 download 29314
1 download 30887
1 download 34235
1 download 34656
1 download 36025
1 download 38311
1 download 39271
1 download 39833
1 download 60608
1 download 61873
1 download 7106
1 download 7608
1 download 76161
1 download 76175
1 testset 38765
1 testset 59243
1 testset 69627
1 testset 73339
1 testset 882
2 taste_buddy 00077 2.000000
2 taste_buddy 00704 2.000000
2 taste_buddy 00949 1.000000
2 taste_buddy 00846 1.000000
2 taste_buddy 00928 1.000000
2 taste_buddy 00803 1.000000
2 taste_buddy 00668 1.000000
2 taste_buddy 00199 1.000000
2 taste_buddy 00198 1.000000
2 taste_buddy 00986 1.000000
2 taste_buddy 00763 1.000000
2 taste_buddy 00257 1.000000
2 taste_buddy 00057 1.000000
2 taste_buddy 00019 1.000000
2 taste_buddy 00834 1.000000
2 taste_buddy 00972 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00540 1.000000
2 taste_buddy 00429 1.000000
2 taste_buddy 00817 1.000000
2 taste_buddy 00420 1.000000
2 taste_buddy 00203 1.000000
2 taste_buddy 00890 1.000000
2 taste_buddy 00710 1.000000
2 taste_buddy 00565 1.000000
2 taste_buddy 00612 1.000000
2 taste_buddy 00031 1.000000
2 taste_buddy 00007 1.000000
2 taste_buddy 00123 1.000000
2 taste_buddy 00245 1.000000
2 taste_buddy 00191 1.000000
