1 download 140093
1 download 295189
1 download 295755
1 download 29618
1 download 366531
1 download 367747
1 download 417317
1 download 466972
1 download 471084
1 download 481077
1 download 481910
1 download 484734
1 download 487894
1 download 488117
1 download 488617
1 download 494762
1 download 498454
1 download 500871
1 download 501004
1 download 501913
1 download 507962
1 download 515500
1 download 521475
1 download 533007
1 download 60189
1 testset 231012
1 testset 443509
1 testset 479741
1 testset 498550
1 testset 503898
1 testset 504422
1 testset 518526
2 taste_buddy 00313 4.000000
2 taste_buddy 00758 4.000000
2 taste_buddy 00293 3.000000
2 taste_buddy 00047 3.000000
2 taste_buddy 00350 2.000000
2 taste_buddy 00407 2.000000
2 taste_buddy 00173 2.000000
2 taste_buddy 00020 2.000000
2 taste_buddy 00970 1.000000
2 taste_buddy 00866 1.000000
2 taste_buddy 00064 1.000000
2 taste_buddy 00862 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00628 1.000000
2 taste_buddy 00377 1.000000
2 taste_buddy 00820 1.000000
2 taste_buddy 00687 1.000000
2 taste_buddy 00686 1.000000
2 taste_buddy 00596 1.000000
2 taste_buddy 00214 1.000000
2 taste_buddy 00989 1.000000
2 taste_buddy 00192 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00662 1.000000
2 taste_buddy 00981 1.000000
2 taste_buddy 00554 1.000000
2 taste_buddy 00707 1.000000
2 taste_buddy 00117 1.000000
2 taste_buddy 00116 1.000000
2 taste_buddy 00035 1.000000
2 taste_buddy 00050 1.000000
2 taste_buddy 00835 1.000000
2 taste_buddy 00956 1.000000
2 taste_buddy 00205 1.000000
2 taste_buddy 00875 1.000000
2 taste_buddy 00340 1.000000
2 taste_buddy 00895 1.000000
2 taste_buddy 00526 1.000000
2 taste_buddy 00364 1.000000
2 taste_buddy 00880 1.000000
2 taste_buddy 00469 1.000000
2 taste_buddy 00583 1.000000
2 taste_buddy 00632 1.000000
2 taste_buddy 00088 1.000000
2 taste_buddy 00309 1.000000
2 taste_buddy 00444 1.000000
2 taste_buddy 00994 1.000000
2 taste_buddy 00386 1.000000
2 taste_buddy 00488 1.000000
