1 download 322146
1 download 35045
1 download 359229
1 download 361958
1 download 365910
1 download 368295
1 download 369935
1 download 390275
1 download 396716
1 download 397238
1 download 399397
1 download 414697
1 download 417737
1 download 438716
1 download 448193
1 download 454919
1 download 483082
1 download 485044
1 download 486547
1 download 493895
1 download 494514
1 download 495387
1 download 500434
1 testset 265580
1 testset 368637
1 testset 420647
1 testset 442605
1 testset 467193
1 testset 485486
2 taste_buddy 00536 3.000000
2 taste_buddy 00232 3.000000
2 taste_buddy 00439 2.000000
2 taste_buddy 00361 2.000000
2 taste_buddy 00928 1.000000
2 taste_buddy 00707 1.000000
2 taste_buddy 00862 1.000000
2 taste_buddy 00628 1.000000
2 taste_buddy 00519 1.000000
2 taste_buddy 00926 1.000000
2 taste_buddy 00687 1.000000
2 taste_buddy 00602 1.000000
2 taste_buddy 00214 1.000000
2 taste_buddy 00984 1.000000
2 taste_buddy 00981 1.000000
2 taste_buddy 00012 1.000000
2 taste_buddy 00798 1.000000
2 taste_buddy 00953 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00919 1.000000
2 taste_buddy 00521 1.000000
2 taste_buddy 00657 1.000000
2 taste_buddy 00719 1.000000
2 taste_buddy 00897 1.000000
2 taste_buddy 00142 1.000000
2 taste_buddy 00892 1.000000
2 taste_buddy 00750 1.000000
2 taste_buddy 00711 1.000000
2 taste_buddy 00758 1.000000
2 taste_buddy 00674 1.000000
2 taste_buddy 00384 1.000000
