1 download 129209
1 download 43920
1 download 456407
1 download 478320
1 download 486423
1 download 495046
1 download 521129
1 download 521955
1 download 525442
1 download 72078
1 download 87761
1 download 981
1 testset 123482
1 testset 206171
1 testset 504629
2 taste_buddy 00875 3.000000
2 taste_buddy 00813 2.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00862 1.000000
2 taste_buddy 00531 1.000000
2 taste_buddy 00477 1.000000
2 taste_buddy 00378 1.000000
2 taste_buddy 00926 1.000000
2 taste_buddy 00822 1.000000
2 taste_buddy 00375 1.000000
2 taste_buddy 00293 1.000000
2 taste_buddy 00513 1.000000
2 taste_buddy 00826 1.000000
2 taste_buddy 00700 1.000000
2 taste_buddy 00602 1.000000
2 taste_buddy 00887 1.000000
2 taste_buddy 00880 1.000000
2 taste_buddy 00604 1.000000
2 taste_buddy 00192 1.000000
2 taste_buddy 00609 1.000000
2 taste_buddy 00707 1.000000
2 taste_buddy 00313 1.000000
2 taste_buddy 00505 1.000000
2 taste_buddy 00051 1.000000
2 taste_buddy 00139 1.000000
2 taste_buddy 00054 1.000000
2 taste_buddy 00565 1.000000
2 taste_buddy 00835 1.000000
2 taste_buddy 00696 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00327 1.000000
2 taste_buddy 00367 1.000000
2 taste_buddy 00215 1.000000
2 taste_buddy 00678 1.000000
2 taste_buddy 00468 1.000000
2 taste_buddy 00632 1.000000
2 taste_buddy 00088 1.000000
2 taste_buddy 00995 1.000000
2 taste_buddy 00635 1.000000
2 taste_buddy 00713 1.000000
2 taste_buddy 00150 1.000000
2 taste_buddy 00611 1.000000
2 taste_buddy 00488 1.000000
2 taste_buddy 00454 1.000000
2 taste_buddy 00047 1.000000
