1 download 136487
1 download 202085
1 download 29377
1 download 29394
1 download 33139
1 download 33905
1 download 34003
1 download 62371
1 download 66108
1 testset 29940
1 testset 30782
1 testset 35100
2 taste_buddy 00661 2.000000
2 taste_buddy 00191 2.000000
2 taste_buddy 00894 2.000000
2 taste_buddy 00376 2.000000
2 taste_buddy 00046 2.000000
2 taste_buddy 00726 1.000000
2 taste_buddy 00728 1.000000
2 taste_buddy 00559 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00552 1.000000
2 taste_buddy 00158 1.000000
2 taste_buddy 00015 1.000000
2 taste_buddy 00390 1.000000
2 taste_buddy 00696 1.000000
2 taste_buddy 00856 1.000000
2 taste_buddy 00692 1.000000
2 taste_buddy 00614 1.000000
2 taste_buddy 00149 1.000000
2 taste_buddy 00305 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00300 1.000000
2 taste_buddy 00384 1.000000
2 taste_buddy 00380 1.000000
2 taste_buddy 00389 1.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00901 1.000000
2 taste_buddy 00865 1.000000
2 taste_buddy 00862 1.000000
2 taste_buddy 00860 1.000000
2 taste_buddy 00531 1.000000
2 taste_buddy 00535 1.000000
2 taste_buddy 00434 1.000000
2 taste_buddy 00981 1.000000
2 taste_buddy 00528 1.000000
2 taste_buddy 00448 1.000000
2 taste_buddy 00201 1.000000
2 taste_buddy 00774 1.000000
2 taste_buddy 00447 1.000000
2 taste_buddy 00208 1.000000
2 taste_buddy 00049 1.000000
2 taste_buddy 00040 1.000000
2 taste_buddy 00043 1.000000
2 taste_buddy 00042 1.000000
2 taste_buddy 00128 1.000000
2 taste_buddy 00129 1.000000
2 taste_buddy 00965 1.000000
2 taste_buddy 00969 1.000000
2 taste_buddy 00350 1.000000
2 taste_buddy 00517 1.000000
2 taste_buddy 00516 1.000000
2 taste_buddy 00801 1.000000
2 taste_buddy 00887 1.000000
2 taste_buddy 00764 1.000000
2 taste_buddy 00450 1.000000
2 taste_buddy 00054 1.000000
2 taste_buddy 00955 1.000000
2 taste_buddy 00950 1.000000
2 taste_buddy 00340 1.000000
2 taste_buddy 00347 1.000000
2 taste_buddy 00349 1.000000
2 taste_buddy 00711 1.000000
2 taste_buddy 00462 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00465 1.000000
2 taste_buddy 00716 1.000000
2 taste_buddy 00266 1.000000
2 taste_buddy 00261 1.000000
2 taste_buddy 00260 1.000000
2 taste_buddy 00106 1.000000
2 taste_buddy 00945 1.000000
2 taste_buddy 00821 1.000000
2 taste_buddy 00442 1.000000
2 taste_buddy 00370 1.000000
2 taste_buddy 00078 1.000000
2 taste_buddy 00703 1.000000
2 taste_buddy 00572 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00406 1.000000
2 taste_buddy 00930 1.000000
2 taste_buddy 00739 1.000000
2 taste_buddy 00632 1.000000
2 taste_buddy 00088 1.000000
2 taste_buddy 00084 1.000000
2 taste_buddy 00561 1.000000
2 taste_buddy 00243 1.000000
2 taste_buddy 00485 1.000000
2 taste_buddy 00008 1.000000
2 taste_buddy 00486 1.000000
