1 download 10132
1 download 101338
1 download 110662
1 download 144774
1 download 172355
1 download 184636
1 download 251683
1 download 26162
1 download 27072
1 download 30295
1 download 30386
1 download 31327
1 download 33456
1 download 35148
1 download 39116
1 download 39117
1 download 41670
1 download 47580
1 download 50326
1 download 50954
1 download 52105
1 download 52184
1 download 54309
1 download 54985
1 download 581143
1 download 66338
1 download 69549
1 download 69553
1 download 69573
1 download 77883
1 download 79362
1 download 90066
1 testset 135164
1 testset 151402
1 testset 35189
1 testset 39927
1 testset 42107
1 testset 49586
1 testset 66163
1 testset 77667
1 testset 83270
2 taste_buddy 00860 4.000000
2 taste_buddy 00562 2.000000
2 taste_buddy 00387 2.000000
2 taste_buddy 00021 1.000000
2 taste_buddy 00740 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00439 1.000000
2 taste_buddy 00353 1.000000
2 taste_buddy 00821 1.000000
2 taste_buddy 00639 1.000000
2 taste_buddy 00373 1.000000
2 taste_buddy 00512 1.000000
2 taste_buddy 00685 1.000000
2 taste_buddy 00668 1.000000
2 taste_buddy 00339 1.000000
2 taste_buddy 00881 1.000000
2 taste_buddy 00769 1.000000
2 taste_buddy 00591 1.000000
2 taste_buddy 00193 1.000000
2 taste_buddy 00761 1.000000
2 taste_buddy 00272 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00393 1.000000
2 taste_buddy 00271 1.000000
2 taste_buddy 00172 1.000000
2 taste_buddy 00695 1.000000
2 taste_buddy 00830 1.000000
2 taste_buddy 00263 1.000000
2 taste_buddy 00954 1.000000
2 taste_buddy 00065 1.000000
2 taste_buddy 00876 1.000000
2 taste_buddy 00950 1.000000
2 taste_buddy 00340 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00592 1.000000
2 taste_buddy 00344 1.000000
2 taste_buddy 00426 1.000000
2 taste_buddy 00910 1.000000
2 taste_buddy 00189 1.000000
2 taste_buddy 00152 1.000000
2 taste_buddy 00754 1.000000
2 taste_buddy 00771 1.000000
2 taste_buddy 00635 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00147 1.000000
2 taste_buddy 00710 1.000000
2 taste_buddy 00713 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00919 1.000000
2 taste_buddy 00674 1.000000
2 taste_buddy 00442 1.000000
2 taste_buddy 00145 1.000000
2 taste_buddy 00168 1.000000
2 taste_buddy 00169 1.000000
2 taste_buddy 00025 1.000000
2 taste_buddy 00484 1.000000
2 taste_buddy 00103 1.000000
