1 download 123027
1 download 123692
1 download 123694
1 download 123811
1 download 126265
1 download 126267
1 download 126737
1 download 129311
1 download 142942
1 download 182333
1 download 191716
1 download 211950
1 download 221522
1 download 260423
1 download 260723
1 download 282573
1 download 294980
1 download 294991
1 download 29611
1 download 2962
1 download 306606
1 download 307625
1 download 321101
1 download 32272
1 download 323902
1 download 32428
1 download 330683
1 download 335384
1 download 34826
1 download 34843
1 download 39947
1 download 46229
1 download 46365
1 download 465415
1 download 48611
1 download 54602
1 download 56881
1 download 64395
1 download 64598
1 download 73660
1 download 79560
1 download 82985
1 download 92622
1 testset 12585
1 testset 159634
1 testset 228206
1 testset 256508
1 testset 297596
1 testset 318073
1 testset 322043
1 testset 32499
1 testset 326904
1 testset 615
1 testset 89062
2 taste_buddy 00344 3.000000
2 taste_buddy 00593 3.000000
2 taste_buddy 00979 3.000000
2 taste_buddy 00098 2.000000
2 taste_buddy 00189 2.000000
2 taste_buddy 00587 2.000000
2 taste_buddy 00715 2.000000
2 taste_buddy 00247 2.000000
2 taste_buddy 00248 2.000000
2 taste_buddy 00289 1.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00654 1.000000
2 taste_buddy 00108 1.000000
2 taste_buddy 00909 1.000000
2 taste_buddy 00720 1.000000
2 taste_buddy 00413 1.000000
2 taste_buddy 00411 1.000000
2 taste_buddy 00566 1.000000
2 taste_buddy 00142 1.000000
2 taste_buddy 00418 1.000000
2 taste_buddy 00389 1.000000
2 taste_buddy 00713 1.000000
2 taste_buddy 00297 1.000000
2 taste_buddy 00597 1.000000
2 taste_buddy 00211 1.000000
2 taste_buddy 00276 1.000000
2 taste_buddy 00607 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00214 1.000000
2 taste_buddy 00097 1.000000
2 taste_buddy 00316 1.000000
2 taste_buddy 00092 1.000000
2 taste_buddy 00176 1.000000
2 taste_buddy 00923 1.000000
2 taste_buddy 00655 1.000000
2 taste_buddy 00013 1.000000
2 taste_buddy 00200 1.000000
2 taste_buddy 00027 1.000000
2 taste_buddy 00074 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00669 1.000000
2 taste_buddy 00206 1.000000
2 taste_buddy 00771 1.000000
2 taste_buddy 00950 1.000000
2 taste_buddy 00544 1.000000
2 taste_buddy 00734 1.000000
2 taste_buddy 00346 1.000000
2 taste_buddy 00181 1.000000
2 taste_buddy 00731 1.000000
2 taste_buddy 00657 1.000000
2 taste_buddy 00426 1.000000
2 taste_buddy 00328 1.000000
2 taste_buddy 00739 1.000000
2 taste_buddy 00280 1.000000
2 taste_buddy 00184 1.000000
2 taste_buddy 00324 1.000000
2 taste_buddy 00205 1.000000
2 taste_buddy 00042 1.000000
2 taste_buddy 00216 1.000000
2 taste_buddy 00463 1.000000
2 taste_buddy 00444 1.000000
2 taste_buddy 00670 1.000000
2 taste_buddy 00671 1.000000
2 taste_buddy 00612 1.000000
2 taste_buddy 00716 1.000000
2 taste_buddy 00005 1.000000
2 taste_buddy 00711 1.000000
2 taste_buddy 00168 1.000000
2 taste_buddy 00918 1.000000
2 taste_buddy 00260 1.000000
2 taste_buddy 00380 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00616 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00347 1.000000
