1 download 105573
1 download 108494
1 download 11169
1 download 1168
1 download 12745
1 download 12747
1 download 1335
1 download 134
1 download 15697
1 download 15749
1 download 185130
1 download 194
1 download 2006
1 download 22153
1 download 22226
1 download 22309
1 download 232081
1 download 2443
1 download 2447
1 download 24588
1 download 2468
1 download 253336
1 download 25569
1 download 2987
1 download 4907
1 download 4909
1 download 4930
1 download 556676
1 download 57925
1 download 5929
1 download 65629
1 download 75
1 download 79560
1 download 9253
1 download 9443
1 download 962
1 testset 10098
1 testset 12792
1 testset 20720
1 testset 23278
1 testset 27110
1 testset 396
1 testset 54901
1 testset 744
1 testset 9452
1 testset 98725
2 taste_buddy 00046 6.000000
2 taste_buddy 00759 4.000000
2 taste_buddy 00344 3.000000
2 taste_buddy 00225 3.000000
2 taste_buddy 00960 2.000000
2 taste_buddy 00629 2.000000
2 taste_buddy 00666 2.000000
2 taste_buddy 00250 2.000000
2 taste_buddy 00300 2.000000
2 taste_buddy 00949 1.000000
2 taste_buddy 00567 1.000000
2 taste_buddy 00902 1.000000
2 taste_buddy 00969 1.000000
2 taste_buddy 00793 1.000000
2 taste_buddy 00353 1.000000
2 taste_buddy 00355 1.000000
2 taste_buddy 00599 1.000000
2 taste_buddy 00690 1.000000
2 taste_buddy 00334 1.000000
2 taste_buddy 00372 1.000000
2 taste_buddy 00510 1.000000
2 taste_buddy 00884 1.000000
2 taste_buddy 00881 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00099 1.000000
2 taste_buddy 00980 1.000000
2 taste_buddy 00093 1.000000
2 taste_buddy 00762 1.000000
2 taste_buddy 00017 1.000000
2 taste_buddy 00131 1.000000
2 taste_buddy 00010 1.000000
2 taste_buddy 00561 1.000000
2 taste_buddy 00254 1.000000
2 taste_buddy 00074 1.000000
2 taste_buddy 00228 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00850 1.000000
2 taste_buddy 00004 1.000000
2 taste_buddy 00856 1.000000
2 taste_buddy 00896 1.000000
2 taste_buddy 00402 1.000000
2 taste_buddy 00346 1.000000
2 taste_buddy 00347 1.000000
2 taste_buddy 00816 1.000000
2 taste_buddy 00449 1.000000
2 taste_buddy 00917 1.000000
2 taste_buddy 00207 1.000000
2 taste_buddy 00771 1.000000
2 taste_buddy 00089 1.000000
2 taste_buddy 00750 1.000000
2 taste_buddy 00587 1.000000
2 taste_buddy 00307 1.000000
2 taste_buddy 00150 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00208 1.000000
2 taste_buddy 00022 1.000000
2 taste_buddy 00527 1.000000
2 taste_buddy 00462 1.000000
2 taste_buddy 00526 1.000000
2 taste_buddy 00029 1.000000
2 taste_buddy 00486 1.000000
2 taste_buddy 00098 1.000000
