1 download 132699
1 download 136141
1 download 136142
1 download 27859
1 download 29319
1 download 29359
1 download 30738
1 download 31104
1 download 40098
1 download 46372
1 download 46585
1 download 7654
1 download 84201
1 download 93400
1 download 94963
1 testset 18143
1 testset 38594
1 testset 45116
1 testset 50685
2 taste_buddy 00270 3.000000
2 taste_buddy 00188 3.000000
2 taste_buddy 00150 2.000000
2 taste_buddy 00770 2.000000
2 taste_buddy 00203 2.000000
2 taste_buddy 00564 2.000000
2 taste_buddy 00382 2.000000
2 taste_buddy 00961 1.000000
2 taste_buddy 00966 1.000000
2 taste_buddy 00943 1.000000
2 taste_buddy 00945 1.000000
2 taste_buddy 00350 1.000000
2 taste_buddy 00688 1.000000
2 taste_buddy 00724 1.000000
2 taste_buddy 00820 1.000000
2 taste_buddy 00686 1.000000
2 taste_buddy 00511 1.000000
2 taste_buddy 00071 1.000000
2 taste_buddy 00887 1.000000
2 taste_buddy 00374 1.000000
2 taste_buddy 00880 1.000000
2 taste_buddy 00764 1.000000
2 taste_buddy 00552 1.000000
2 taste_buddy 00191 1.000000
2 taste_buddy 00525 1.000000
2 taste_buddy 00554 1.000000
2 taste_buddy 00016 1.000000
2 taste_buddy 00137 1.000000
2 taste_buddy 00136 1.000000
2 taste_buddy 00283 1.000000
2 taste_buddy 00131 1.000000
2 taste_buddy 00256 1.000000
2 taste_buddy 00972 1.000000
2 taste_buddy 00705 1.000000
2 taste_buddy 00832 1.000000
2 taste_buddy 00024 1.000000
2 taste_buddy 00698 1.000000
2 taste_buddy 00839 1.000000
2 taste_buddy 00079 1.000000
2 taste_buddy 00288 1.000000
2 taste_buddy 00817 1.000000
2 taste_buddy 00477 1.000000
2 taste_buddy 00894 1.000000
2 taste_buddy 00468 1.000000
2 taste_buddy 00309 1.000000
2 taste_buddy 00463 1.000000
2 taste_buddy 00084 1.000000
2 taste_buddy 00305 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00048 1.000000
2 taste_buddy 00125 1.000000
2 taste_buddy 00307 1.000000
2 taste_buddy 00632 1.000000
