1 download 103761
1 download 154384
1 download 274243
1 download 285684
1 download 33082
1 download 45717
1 download 58051
1 download 58888
1 testset 32635
1 testset 41946
2 taste_buddy 00879 1.000000
2 taste_buddy 00064 1.000000
2 taste_buddy 00459 1.000000
2 taste_buddy 00218 1.000000
2 taste_buddy 00100 1.000000
2 taste_buddy 00191 1.000000
2 taste_buddy 00604 1.000000
2 taste_buddy 00590 1.000000
2 taste_buddy 00651 1.000000
2 taste_buddy 00208 1.000000
2 taste_buddy 00683 1.000000
2 taste_buddy 00829 1.000000
2 taste_buddy 00357 1.000000
2 taste_buddy 00913 1.000000
2 taste_buddy 00408 1.000000
2 taste_buddy 00257 1.000000
2 taste_buddy 00917 1.000000
