1 download 102547
1 download 14628
1 download 20047
1 download 254424
1 download 29611
1 download 30098
1 download 30113
1 download 309560
1 download 354319
1 download 354320
1 download 35505
1 download 36831
1 download 403269
1 download 407720
1 download 411870
1 download 431198
1 download 435286
1 download 442774
1 download 444097
1 download 446049
1 download 447579
1 download 44896
1 download 49684
1 download 96981
1 testset 126072
1 testset 154211
1 testset 359954
1 testset 360680
1 testset 447230
1 testset 458727
1 testset 90600
2 taste_buddy 00459 4.000000
2 taste_buddy 00641 3.000000
2 taste_buddy 00318 2.000000
2 taste_buddy 00179 2.000000
2 taste_buddy 00272 2.000000
2 taste_buddy 00289 2.000000
2 taste_buddy 00566 2.000000
2 taste_buddy 00630 2.000000
2 taste_buddy 00715 2.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00901 1.000000
2 taste_buddy 00351 1.000000
2 taste_buddy 00350 1.000000
2 taste_buddy 00353 1.000000
2 taste_buddy 00921 1.000000
2 taste_buddy 00418 1.000000
2 taste_buddy 00373 1.000000
2 taste_buddy 00510 1.000000
2 taste_buddy 00602 1.000000
2 taste_buddy 00074 1.000000
2 taste_buddy 00605 1.000000
2 taste_buddy 00457 1.000000
2 taste_buddy 00888 1.000000
2 taste_buddy 00450 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00472 1.000000
2 taste_buddy 00011 1.000000
2 taste_buddy 00051 1.000000
2 taste_buddy 00176 1.000000
2 taste_buddy 00850 1.000000
2 taste_buddy 00833 1.000000
2 taste_buddy 00979 1.000000
2 taste_buddy 00955 1.000000
2 taste_buddy 00342 1.000000
2 taste_buddy 00403 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00323 1.000000
2 taste_buddy 00812 1.000000
2 taste_buddy 00189 1.000000
2 taste_buddy 00739 1.000000
2 taste_buddy 00463 1.000000
2 taste_buddy 00444 1.000000
2 taste_buddy 00779 1.000000
2 taste_buddy 00671 1.000000
2 taste_buddy 00465 1.000000
2 taste_buddy 00639 1.000000
2 taste_buddy 00023 1.000000
2 taste_buddy 00711 1.000000
2 taste_buddy 00005 1.000000
2 taste_buddy 00726 1.000000
2 taste_buddy 00484 1.000000
2 taste_buddy 00486 1.000000
