1 download 101913
1 download 105092
1 download 106589
1 download 115476
1 download 115899
1 download 130270
1 download 140565
1 download 15142
1 download 159787
1 download 174933
1 download 184915
1 download 186952
1 download 29963
1 download 33502
1 download 35461
1 download 36025
1 download 36357
1 download 39815
1 download 40139
1 download 51719
1 download 51969
1 download 64390
1 download 64395
1 download 6847
1 download 71972
1 download 73940
1 download 81240
1 testset 135164
1 testset 189371
1 testset 190329
1 testset 216580
1 testset 47841
1 testset 65404
1 testset 68196
2 taste_buddy 00364 3.000000
2 taste_buddy 00704 3.000000
2 taste_buddy 00187 3.000000
2 taste_buddy 00668 2.000000
2 taste_buddy 00961 1.000000
2 taste_buddy 00785 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00981 1.000000
2 taste_buddy 00688 1.000000
2 taste_buddy 00539 1.000000
2 taste_buddy 00510 1.000000
2 taste_buddy 00211 1.000000
2 taste_buddy 00198 1.000000
2 taste_buddy 00214 1.000000
2 taste_buddy 00662 1.000000
2 taste_buddy 00556 1.000000
2 taste_buddy 00763 1.000000
2 taste_buddy 00233 1.000000
2 taste_buddy 00951 1.000000
2 taste_buddy 00325 1.000000
2 taste_buddy 00657 1.000000
2 taste_buddy 00287 1.000000
2 taste_buddy 00860 1.000000
2 taste_buddy 00812 1.000000
2 taste_buddy 00719 1.000000
2 taste_buddy 00754 1.000000
2 taste_buddy 00894 1.000000
2 taste_buddy 00635 1.000000
2 taste_buddy 00673 1.000000
2 taste_buddy 00713 1.000000
2 taste_buddy 00712 1.000000
2 taste_buddy 00264 1.000000
2 taste_buddy 00477 1.000000
2 taste_buddy 00710 1.000000
