1 download 202126
1 download 309560
1 download 314614
1 download 332413
1 download 332562
1 download 336579
1 download 355037
1 download 355368
1 download 359203
1 download 359274
1 download 361629
1 download 371183
1 download 407720
1 download 43173
1 download 44572
1 download 96981
1 testset 30940
1 testset 331517
1 testset 34874
1 testset 352383
1 testset 354319
2 taste_buddy 00607 3.000000
2 taste_buddy 00940 2.000000
2 taste_buddy 00602 2.000000
2 taste_buddy 00363 2.000000
2 taste_buddy 00318 2.000000
2 taste_buddy 00459 2.000000
2 taste_buddy 00119 2.000000
2 taste_buddy 00623 1.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00903 1.000000
2 taste_buddy 00942 1.000000
2 taste_buddy 00657 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00351 1.000000
2 taste_buddy 00411 1.000000
2 taste_buddy 00335 1.000000
2 taste_buddy 00432 1.000000
2 taste_buddy 00605 1.000000
2 taste_buddy 00096 1.000000
2 taste_buddy 00765 1.000000
2 taste_buddy 00316 1.000000
2 taste_buddy 00453 1.000000
2 taste_buddy 00748 1.000000
2 taste_buddy 00763 1.000000
2 taste_buddy 00179 1.000000
2 taste_buddy 00014 1.000000
2 taste_buddy 00034 1.000000
2 taste_buddy 00035 1.000000
2 taste_buddy 00051 1.000000
2 taste_buddy 00496 1.000000
2 taste_buddy 00398 1.000000
2 taste_buddy 00668 1.000000
2 taste_buddy 00955 1.000000
2 taste_buddy 00839 1.000000
2 taste_buddy 00876 1.000000
2 taste_buddy 00875 1.000000
2 taste_buddy 00327 1.000000
2 taste_buddy 00540 1.000000
2 taste_buddy 00543 1.000000
2 taste_buddy 00360 1.000000
2 taste_buddy 00632 1.000000
2 taste_buddy 00284 1.000000
2 taste_buddy 00329 1.000000
2 taste_buddy 00468 1.000000
2 taste_buddy 00751 1.000000
2 taste_buddy 00088 1.000000
2 taste_buddy 00563 1.000000
2 taste_buddy 00044 1.000000
2 taste_buddy 00661 1.000000
2 taste_buddy 00009 1.000000
2 taste_buddy 00167 1.000000
2 taste_buddy 00487 1.000000
