1 download 146411
1 download 1857
1 download 30157
1 download 39449
1 download 60165
1 download 60994
1 download 63107
1 download 77333
1 download 79392
1 download 90473
1 testset 2245
1 testset 30077
1 testset 91420
2 taste_buddy 00812 2.000000
2 taste_buddy 00841 1.000000
2 taste_buddy 00726 1.000000
2 taste_buddy 00413 1.000000
2 taste_buddy 00643 1.000000
2 taste_buddy 00414 1.000000
2 taste_buddy 00431 1.000000
2 taste_buddy 00098 1.000000
2 taste_buddy 00801 1.000000
2 taste_buddy 00620 1.000000
2 taste_buddy 00216 1.000000
2 taste_buddy 00333 1.000000
2 taste_buddy 00985 1.000000
2 taste_buddy 00664 1.000000
2 taste_buddy 00015 1.000000
2 taste_buddy 00391 1.000000
2 taste_buddy 00230 1.000000
2 taste_buddy 00497 1.000000
2 taste_buddy 00955 1.000000
2 taste_buddy 00874 1.000000
2 taste_buddy 00952 1.000000
2 taste_buddy 00547 1.000000
2 taste_buddy 00654 1.000000
2 taste_buddy 00541 1.000000
2 taste_buddy 00344 1.000000
2 taste_buddy 00409 1.000000
2 taste_buddy 00483 1.000000
2 taste_buddy 00773 1.000000
2 taste_buddy 00065 1.000000
2 taste_buddy 00203 1.000000
2 taste_buddy 00996 1.000000
2 taste_buddy 00462 1.000000
2 taste_buddy 00712 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00193 1.000000
2 taste_buddy 00266 1.000000
2 taste_buddy 00108 1.000000
2 taste_buddy 00003 1.000000
2 taste_buddy 00481 1.000000
2 taste_buddy 00724 1.000000
2 taste_buddy 00249 1.000000
2 taste_buddy 00043 1.000000
2 taste_buddy 00484 1.000000
2 taste_buddy 00486 1.000000
