1 download 134535
1 download 18062
1 download 219499
1 download 249302
1 download 30186
1 download 30187
1 download 30221
1 download 32175
1 download 32445
1 download 33125
1 download 35894
1 download 37003
1 download 41245
1 download 42631
1 download 43264
1 download 44226
1 download 45717
1 download 46467
1 download 46546
1 download 47257
1 download 51352
1 download 54034
1 download 65337
1 download 9315
1 download 9476
1 download 9508
1 testset 275696
1 testset 30060
1 testset 381038
1 testset 39545
1 testset 43390
1 testset 65404
1 testset 9714
2 taste_buddy 00454 3.000000
2 taste_buddy 00357 2.000000
2 taste_buddy 00530 2.000000
2 taste_buddy 00548 2.000000
2 taste_buddy 00768 2.000000
2 taste_buddy 00131 2.000000
2 taste_buddy 00841 1.000000
2 taste_buddy 00949 1.000000
2 taste_buddy 00617 1.000000
2 taste_buddy 00847 1.000000
2 taste_buddy 00790 1.000000
2 taste_buddy 00945 1.000000
2 taste_buddy 00531 1.000000
2 taste_buddy 00645 1.000000
2 taste_buddy 00477 1.000000
2 taste_buddy 00355 1.000000
2 taste_buddy 00704 1.000000
2 taste_buddy 00379 1.000000
2 taste_buddy 00821 1.000000
2 taste_buddy 00194 1.000000
2 taste_buddy 00373 1.000000
2 taste_buddy 00512 1.000000
2 taste_buddy 00802 1.000000
2 taste_buddy 00744 1.000000
2 taste_buddy 00215 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00604 1.000000
2 taste_buddy 00765 1.000000
2 taste_buddy 00191 1.000000
2 taste_buddy 00980 1.000000
2 taste_buddy 00196 1.000000
2 taste_buddy 00573 1.000000
2 taste_buddy 00763 1.000000
2 taste_buddy 00964 1.000000
2 taste_buddy 00136 1.000000
2 taste_buddy 00283 1.000000
2 taste_buddy 00270 1.000000
2 taste_buddy 00034 1.000000
2 taste_buddy 00150 1.000000
2 taste_buddy 00051 1.000000
2 taste_buddy 00139 1.000000
2 taste_buddy 00054 1.000000
2 taste_buddy 00750 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00206 1.000000
2 taste_buddy 00957 1.000000
2 taste_buddy 00858 1.000000
2 taste_buddy 00686 1.000000
2 taste_buddy 00001 1.000000
2 taste_buddy 00382 1.000000
2 taste_buddy 00654 1.000000
2 taste_buddy 00344 1.000000
2 taste_buddy 00170 1.000000
2 taste_buddy 00408 1.000000
2 taste_buddy 00910 1.000000
2 taste_buddy 00917 1.000000
2 taste_buddy 00930 1.000000
2 taste_buddy 00620 1.000000
2 taste_buddy 00182 1.000000
2 taste_buddy 00720 1.000000
2 taste_buddy 00585 1.000000
2 taste_buddy 00995 1.000000
2 taste_buddy 00590 1.000000
2 taste_buddy 00463 1.000000
2 taste_buddy 00149 1.000000
2 taste_buddy 00305 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00021 1.000000
2 taste_buddy 00217 1.000000
2 taste_buddy 00076 1.000000
2 taste_buddy 00163 1.000000
2 taste_buddy 00364 1.000000
2 taste_buddy 00167 1.000000
2 taste_buddy 00128 1.000000
2 taste_buddy 00312 1.000000
