1 download 102587
1 download 112066
1 download 134714
1 download 136487
1 download 172471
1 download 177111
1 download 210366
1 download 224787
1 download 250824
1 download 260423
1 download 285326
1 download 30082
1 download 31549
1 download 37646
1 download 40214
1 download 40625
1 download 40631
1 download 40756
1 download 41613
1 download 46354
1 download 46366
1 download 49882
1 download 50341
1 download 54535
1 download 68281
1 download 71573
1 download 79539
1 download 82880
1 download 86957
1 testset 30708
1 testset 30713
1 testset 30718
1 testset 39649
1 testset 51452
1 testset 52194
1 testset 53864
1 testset 90023
2 taste_buddy 00049 5.000000
2 taste_buddy 00891 5.000000
2 taste_buddy 00098 3.000000
2 taste_buddy 00115 3.000000
2 taste_buddy 00747 3.000000
2 taste_buddy 00973 2.000000
2 taste_buddy 00533 2.000000
2 taste_buddy 00640 2.000000
2 taste_buddy 00242 2.000000
2 taste_buddy 00608 1.000000
2 taste_buddy 00902 1.000000
2 taste_buddy 00943 1.000000
2 taste_buddy 00265 1.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00416 1.000000
2 taste_buddy 00823 1.000000
2 taste_buddy 00821 1.000000
2 taste_buddy 00922 1.000000
2 taste_buddy 00371 1.000000
2 taste_buddy 00510 1.000000
2 taste_buddy 00669 1.000000
2 taste_buddy 00559 1.000000
2 taste_buddy 00074 1.000000
2 taste_buddy 00847 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00099 1.000000
2 taste_buddy 00661 1.000000
2 taste_buddy 00552 1.000000
2 taste_buddy 00454 1.000000
2 taste_buddy 00987 1.000000
2 taste_buddy 00176 1.000000
2 taste_buddy 00450 1.000000
2 taste_buddy 00091 1.000000
2 taste_buddy 00113 1.000000
2 taste_buddy 00239 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00257 1.000000
2 taste_buddy 00390 1.000000
2 taste_buddy 00207 1.000000
2 taste_buddy 00850 1.000000
2 taste_buddy 00794 1.000000
2 taste_buddy 00854 1.000000
2 taste_buddy 00979 1.000000
2 taste_buddy 00595 1.000000
2 taste_buddy 00872 1.000000
2 taste_buddy 00894 1.000000
2 taste_buddy 00184 1.000000
2 taste_buddy 00400 1.000000
2 taste_buddy 00346 1.000000
2 taste_buddy 00816 1.000000
2 taste_buddy 00743 1.000000
2 taste_buddy 00284 1.000000
2 taste_buddy 00548 1.000000
2 taste_buddy 00810 1.000000
2 taste_buddy 00145 1.000000
2 taste_buddy 00773 1.000000
2 taste_buddy 00992 1.000000
2 taste_buddy 00757 1.000000
2 taste_buddy 00997 1.000000
2 taste_buddy 00776 1.000000
2 taste_buddy 00275 1.000000
2 taste_buddy 00674 1.000000
2 taste_buddy 00464 1.000000
2 taste_buddy 00243 1.000000
2 taste_buddy 00384 1.000000
2 taste_buddy 00003 1.000000
2 taste_buddy 00332 1.000000
2 taste_buddy 00106 1.000000
2 taste_buddy 00248 1.000000
2 taste_buddy 00700 1.000000
2 taste_buddy 00486 1.000000
