1 download 106904
1 download 116759
1 download 1857
1 download 214810
1 download 22294
1 download 230617
1 download 235825
1 download 258234
1 download 291408
1 download 29342
1 download 29348
1 download 29394
1 download 294841
1 download 298046
1 download 298433
1 download 29940
1 download 30112
1 download 30113
1 download 30156
1 download 30688
1 download 31240
1 download 32304
1 download 35895
1 download 36401
1 download 38226
1 download 38237
1 download 39713
1 download 42394
1 download 46708
1 download 50344
1 download 52981
1 download 635988
1 download 68382
1 download 76748
1 download 88180
1 download 99459
1 testset 10484
1 testset 118522
1 testset 30073
1 testset 32978
1 testset 341363
1 testset 40328
1 testset 60777
1 testset 61429
1 testset 66917
2 taste_buddy 00912 5.000000
2 taste_buddy 00980 4.000000
2 taste_buddy 00715 4.000000
2 taste_buddy 00600 3.000000
2 taste_buddy 00907 3.000000
2 taste_buddy 00531 3.000000
2 taste_buddy 00457 3.000000
2 taste_buddy 00450 3.000000
2 taste_buddy 00248 3.000000
2 taste_buddy 00330 2.000000
2 taste_buddy 00414 2.000000
2 taste_buddy 00925 2.000000
2 taste_buddy 00151 2.000000
2 taste_buddy 00099 2.000000
2 taste_buddy 00552 2.000000
2 taste_buddy 00381 2.000000
2 taste_buddy 00486 2.000000
2 taste_buddy 00389 2.000000
2 taste_buddy 00901 2.000000
2 taste_buddy 00981 2.000000
2 taste_buddy 00321 2.000000
2 taste_buddy 00592 2.000000
2 taste_buddy 00201 2.000000
2 taste_buddy 00208 2.000000
2 taste_buddy 00040 2.000000
2 taste_buddy 00969 2.000000
2 taste_buddy 00290 2.000000
2 taste_buddy 00216 2.000000
2 taste_buddy 00191 2.000000
2 taste_buddy 00955 2.000000
2 taste_buddy 00342 2.000000
2 taste_buddy 00347 2.000000
2 taste_buddy 00816 2.000000
2 taste_buddy 00812 2.000000
2 taste_buddy 00462 2.000000
2 taste_buddy 00266 2.000000
2 taste_buddy 00476 2.000000
2 taste_buddy 00376 2.000000
2 taste_buddy 00005 2.000000
2 taste_buddy 00073 2.000000
2 taste_buddy 00273 2.000000
2 taste_buddy 00406 2.000000
2 taste_buddy 00739 2.000000
2 taste_buddy 00561 2.000000
2 taste_buddy 00243 2.000000
2 taste_buddy 00661 2.000000
2 taste_buddy 00484 2.000000
