1 download 216210
1 download 250824
1 download 251442
1 download 271929
1 download 284049
1 download 30723
1 download 32153
1 download 363786
1 download 365345
1 download 375873
1 download 378051
1 download 384438
1 download 39130
1 download 395698
1 download 402252
1 download 403381
1 download 404443
1 download 408781
1 download 410980
1 download 448173
1 download 448979
1 download 448988
1 download 449698
1 download 452992
1 download 456115
1 download 468744
1 download 471121
1 download 471334
1 download 471335
1 download 471336
1 download 472934
1 testset 388275
1 testset 408296
1 testset 442605
1 testset 448997
1 testset 448998
1 testset 467193
1 testset 49259
1 testset 49260
2 taste_buddy 00536 10.000000
2 taste_buddy 00798 3.000000
2 taste_buddy 00853 2.000000
2 taste_buddy 00426 2.000000
2 taste_buddy 00381 2.000000
2 taste_buddy 00628 2.000000
2 taste_buddy 00656 1.000000
2 taste_buddy 00657 1.000000
2 taste_buddy 00413 1.000000
2 taste_buddy 00724 1.000000
2 taste_buddy 00414 1.000000
2 taste_buddy 00923 1.000000
2 taste_buddy 00600 1.000000
2 taste_buddy 00318 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00552 1.000000
2 taste_buddy 00550 1.000000
2 taste_buddy 00092 1.000000
2 taste_buddy 00498 1.000000
2 taste_buddy 00390 1.000000
2 taste_buddy 00492 1.000000
2 taste_buddy 00256 1.000000
2 taste_buddy 00257 1.000000
2 taste_buddy 00496 1.000000
2 taste_buddy 00494 1.000000
2 taste_buddy 00850 1.000000
2 taste_buddy 00851 1.000000
2 taste_buddy 00065 1.000000
2 taste_buddy 00545 1.000000
2 taste_buddy 00919 1.000000
2 taste_buddy 00540 1.000000
2 taste_buddy 00910 1.000000
2 taste_buddy 00992 1.000000
2 taste_buddy 00143 1.000000
2 taste_buddy 00619 1.000000
2 taste_buddy 00995 1.000000
2 taste_buddy 00610 1.000000
2 taste_buddy 00758 1.000000
2 taste_buddy 00028 1.000000
2 taste_buddy 00226 1.000000
2 taste_buddy 00905 1.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00864 1.000000
2 taste_buddy 00531 1.000000
2 taste_buddy 00534 1.000000
2 taste_buddy 00430 1.000000
2 taste_buddy 00431 1.000000
2 taste_buddy 00098 1.000000
2 taste_buddy 00668 1.000000
2 taste_buddy 00661 1.000000
2 taste_buddy 00985 1.000000
2 taste_buddy 00337 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00037 1.000000
2 taste_buddy 00978 1.000000
2 taste_buddy 00875 1.000000
2 taste_buddy 00327 1.000000
2 taste_buddy 00321 1.000000
2 taste_buddy 00284 1.000000
2 taste_buddy 00328 1.000000
2 taste_buddy 00281 1.000000
2 taste_buddy 00207 1.000000
2 taste_buddy 00206 1.000000
2 taste_buddy 00770 1.000000
2 taste_buddy 00216 1.000000
2 taste_buddy 00444 1.000000
2 taste_buddy 00674 1.000000
2 taste_buddy 00442 1.000000
2 taste_buddy 00120 1.000000
2 taste_buddy 00097 1.000000
2 taste_buddy 00040 1.000000
2 taste_buddy 00042 1.000000
2 taste_buddy 00045 1.000000
2 taste_buddy 00047 1.000000
2 taste_buddy 00046 1.000000
2 taste_buddy 00311 1.000000
2 taste_buddy 00969 1.000000
2 taste_buddy 00350 1.000000
2 taste_buddy 00645 1.000000
2 taste_buddy 00598 1.000000
2 taste_buddy 00597 1.000000
2 taste_buddy 00768 1.000000
2 taste_buddy 00769 1.000000
2 taste_buddy 00883 1.000000
2 taste_buddy 00459 1.000000
2 taste_buddy 00457 1.000000
2 taste_buddy 00453 1.000000
2 taste_buddy 00450 1.000000
2 taste_buddy 00763 1.000000
2 taste_buddy 00112 1.000000
2 taste_buddy 00111 1.000000
2 taste_buddy 00119 1.000000
2 taste_buddy 00796 1.000000
2 taste_buddy 00955 1.000000
2 taste_buddy 00952 1.000000
2 taste_buddy 00653 1.000000
2 taste_buddy 00344 1.000000
2 taste_buddy 00345 1.000000
2 taste_buddy 00658 1.000000
2 taste_buddy 00506 1.000000
2 taste_buddy 00719 1.000000
2 taste_buddy 00894 1.000000
2 taste_buddy 00468 1.000000
2 taste_buddy 00462 1.000000
2 taste_buddy 00467 1.000000
2 taste_buddy 00716 1.000000
2 taste_buddy 00260 1.000000
2 taste_buddy 00263 1.000000
2 taste_buddy 00269 1.000000
2 taste_buddy 00101 1.000000
2 taste_buddy 00942 1.000000
2 taste_buddy 00943 1.000000
2 taste_buddy 00944 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00476 1.000000
2 taste_buddy 00378 1.000000
2 taste_buddy 00375 1.000000
2 taste_buddy 00827 1.000000
2 taste_buddy 00071 1.000000
2 taste_buddy 00222 1.000000
2 taste_buddy 00005 1.000000
2 taste_buddy 00622 1.000000
2 taste_buddy 00575 1.000000
2 taste_buddy 00703 1.000000
2 taste_buddy 00276 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00956 1.000000
2 taste_buddy 00170 1.000000
2 taste_buddy 00177 1.000000
2 taste_buddy 00836 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00361 1.000000
2 taste_buddy 00363 1.000000
2 taste_buddy 00364 1.000000
2 taste_buddy 00933 1.000000
2 taste_buddy 00630 1.000000
2 taste_buddy 00561 1.000000
2 taste_buddy 00243 1.000000
2 taste_buddy 00247 1.000000
2 taste_buddy 00003 1.000000
2 taste_buddy 00481 1.000000
2 taste_buddy 00163 1.000000
2 taste_buddy 00483 1.000000
2 taste_buddy 00164 1.000000
2 taste_buddy 00486 1.000000
