1 download 109158
1 download 114490
1 download 151909
1 download 151929
1 download 160342
1 download 172471
1 download 187877
1 download 242913
1 download 29471
1 download 30346
1 download 30489
1 download 34763
1 download 37408
1 download 43520
1 download 56981
1 download 58120
1 download 68620
1 download 70601
1 download 83968
1 download 87602
1 testset 211070
1 testset 2293
1 testset 252665
1 testset 44402
1 testset 52071
1 testset 61823
2 taste_buddy 00829 1.000000
2 taste_buddy 00928 1.000000
2 taste_buddy 00359 1.000000
2 taste_buddy 00716 1.000000
2 taste_buddy 00436 1.000000
2 taste_buddy 00684 1.000000
2 taste_buddy 00768 1.000000
2 taste_buddy 00604 1.000000
2 taste_buddy 00661 1.000000
2 taste_buddy 00332 1.000000
2 taste_buddy 00274 1.000000
2 taste_buddy 00194 1.000000
2 taste_buddy 00058 1.000000
2 taste_buddy 00255 1.000000
2 taste_buddy 00257 1.000000
2 taste_buddy 00494 1.000000
2 taste_buddy 00648 1.000000
2 taste_buddy 00879 1.000000
2 taste_buddy 00974 1.000000
2 taste_buddy 00959 1.000000
2 taste_buddy 00958 1.000000
2 taste_buddy 00912 1.000000
2 taste_buddy 00363 1.000000
2 taste_buddy 00188 1.000000
2 taste_buddy 00549 1.000000
2 taste_buddy 00367 1.000000
2 taste_buddy 00718 1.000000
2 taste_buddy 00203 1.000000
2 taste_buddy 00200 1.000000
2 taste_buddy 00306 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00442 1.000000
2 taste_buddy 00049 1.000000
2 taste_buddy 00222 1.000000
