1 download 127194
1 download 299380
1 download 30334
1 download 34715
1 download 43446
1 download 51664
1 download 54154
1 download 64461
1 testset 30718
1 testset 32637
1 testset 53084
2 taste_buddy 00363 2.000000
2 taste_buddy 00680 1.000000
2 taste_buddy 00144 1.000000
2 taste_buddy 00098 1.000000
2 taste_buddy 00149 1.000000
2 taste_buddy 00592 1.000000
2 taste_buddy 00980 1.000000
2 taste_buddy 00336 1.000000
2 taste_buddy 00860 1.000000
2 taste_buddy 00387 1.000000
2 taste_buddy 00143 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00378 1.000000
2 taste_buddy 00817 1.000000
2 taste_buddy 00106 1.000000
2 taste_buddy 00248 1.000000
2 taste_buddy 00649 1.000000
2 taste_buddy 00347 1.000000
