1 download 185152
1 download 206537
1 download 22299
1 download 2895
1 download 30082
1 download 30113
1 download 30149
1 download 30223
1 download 30723
1 download 31507
1 download 31647
1 download 32449
1 download 33435
1 download 34840
1 download 49441
1 download 6344
1 download 71744
1 download 962
1 testset 30199
1 testset 30834
1 testset 42965
1 testset 45014
1 testset 50152
2 taste_buddy 00450 6.000000
2 taste_buddy 00207 6.000000
2 taste_buddy 00939 5.000000
2 taste_buddy 00098 4.000000
2 taste_buddy 00747 4.000000
2 taste_buddy 00273 4.000000
2 taste_buddy 00243 4.000000
2 taste_buddy 00486 4.000000
2 taste_buddy 00151 3.000000
2 taste_buddy 00494 3.000000
2 taste_buddy 00724 3.000000
2 taste_buddy 00901 3.000000
2 taste_buddy 00431 3.000000
2 taste_buddy 00039 3.000000
2 taste_buddy 00120 3.000000
2 taste_buddy 00457 3.000000
2 taste_buddy 00191 3.000000
2 taste_buddy 00715 3.000000
2 taste_buddy 00891 3.000000
2 taste_buddy 00462 3.000000
2 taste_buddy 00430 3.000000
2 taste_buddy 00272 3.000000
2 taste_buddy 00003 3.000000
2 taste_buddy 00248 3.000000
2 taste_buddy 00164 3.000000
