1 download 101996
1 download 154384
1 download 163981
1 download 207970
1 download 235934
1 download 250922
1 download 254044
1 download 277166
1 download 292371
1 download 30301
1 download 30788
1 download 32047
1 download 32450
1 download 343479
1 download 34574
1 download 352771
1 download 358702
1 download 362831
1 download 372509
1 download 376037
1 download 45861
1 download 50220
1 download 56981
1 download 82258
1 testset 366063
1 testset 370158
1 testset 371579
1 testset 375028
1 testset 40941
1 testset 4728
2 taste_buddy 00966 2.000000
2 taste_buddy 00980 2.000000
2 taste_buddy 00280 2.000000
2 taste_buddy 00875 2.000000
2 taste_buddy 00699 2.000000
2 taste_buddy 00340 2.000000
2 taste_buddy 00646 2.000000
2 taste_buddy 00964 1.000000
2 taste_buddy 00835 1.000000
2 taste_buddy 00865 1.000000
2 taste_buddy 00943 1.000000
2 taste_buddy 00862 1.000000
2 taste_buddy 00459 1.000000
2 taste_buddy 00829 1.000000
2 taste_buddy 00817 1.000000
2 taste_buddy 00820 1.000000
2 taste_buddy 00920 1.000000
2 taste_buddy 00597 1.000000
2 taste_buddy 00602 1.000000
2 taste_buddy 00198 1.000000
2 taste_buddy 00593 1.000000
2 taste_buddy 00769 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00099 1.000000
2 taste_buddy 00553 1.000000
2 taste_buddy 00097 1.000000
2 taste_buddy 00628 1.000000
2 taste_buddy 00059 1.000000
2 taste_buddy 00012 1.000000
2 taste_buddy 00389 1.000000
2 taste_buddy 00278 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00632 1.000000
2 taste_buddy 00794 1.000000
2 taste_buddy 00798 1.000000
2 taste_buddy 00955 1.000000
2 taste_buddy 00859 1.000000
2 taste_buddy 00184 1.000000
2 taste_buddy 00651 1.000000
2 taste_buddy 00064 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00347 1.000000
2 taste_buddy 00110 1.000000
2 taste_buddy 00363 1.000000
2 taste_buddy 00917 1.000000
2 taste_buddy 00578 1.000000
2 taste_buddy 00678 1.000000
2 taste_buddy 00895 1.000000
2 taste_buddy 00449 1.000000
2 taste_buddy 00585 1.000000
2 taste_buddy 00201 1.000000
2 taste_buddy 00306 1.000000
2 taste_buddy 00444 1.000000
2 taste_buddy 00604 1.000000
2 taste_buddy 00613 1.000000
2 taste_buddy 00127 1.000000
2 taste_buddy 00383 1.000000
2 taste_buddy 00120 1.000000
2 taste_buddy 00248 1.000000
2 taste_buddy 00484 1.000000
2 taste_buddy 00486 1.000000
