1 download 104899
1 download 11728
1 download 13124
1 download 14148
1 download 146317
1 download 2636
1 download 267588
1 download 277437
1 download 30634
1 download 33823
1 download 39061
1 download 42521
1 download 45059
1 download 55235
1 download 59483
1 download 68811
1 download 72638
1 testset 117242
1 testset 192849
1 testset 31037
1 testset 603
1 testset 82655
2 taste_buddy 00902 2.000000
2 taste_buddy 00887 2.000000
2 taste_buddy 00054 2.000000
2 taste_buddy 00785 1.000000
2 taste_buddy 00721 1.000000
2 taste_buddy 00899 1.000000
2 taste_buddy 00373 1.000000
2 taste_buddy 00596 1.000000
2 taste_buddy 00709 1.000000
2 taste_buddy 00214 1.000000
2 taste_buddy 00606 1.000000
2 taste_buddy 00315 1.000000
2 taste_buddy 00332 1.000000
2 taste_buddy 00766 1.000000
2 taste_buddy 00981 1.000000
2 taste_buddy 00335 1.000000
2 taste_buddy 00016 1.000000
2 taste_buddy 00118 1.000000
2 taste_buddy 00690 1.000000
2 taste_buddy 00051 1.000000
2 taste_buddy 00687 1.000000
2 taste_buddy 00875 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00184 1.000000
2 taste_buddy 00509 1.000000
2 taste_buddy 00405 1.000000
2 taste_buddy 00285 1.000000
2 taste_buddy 00769 1.000000
2 taste_buddy 00992 1.000000
2 taste_buddy 00205 1.000000
2 taste_buddy 00204 1.000000
2 taste_buddy 00587 1.000000
2 taste_buddy 00710 1.000000
2 taste_buddy 00674 1.000000
2 taste_buddy 00082 1.000000
2 taste_buddy 00023 1.000000
2 taste_buddy 00266 1.000000
2 taste_buddy 00121 1.000000
2 taste_buddy 00221 1.000000
